Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
130	N	N	21	N	N	N	N	N	N	N	19	11.67	N	N	38	N	N	N	26	22.03	26	24.47
131	N	N	21	N	N	N	N	N	N	N	19	13.56	N	N	39	N	N	N	26	24.82	26	26.28
132	N	N	21	N	N	N	N	N	N	N	19	15.45	N	N	39	N	N	N	26	27.54	26	28.09
133	N	N	21	N	N	N	N	N	N	N	19	17.34	N	N	39	N	N	N	26	30.19	26	29.87
134	N	N	21	N	N	N	N	N	N	N	19	19.22	N	N	39	N	N	N	26	32.78	26	31.65
135	N	N	21	N	N	N	N	N	N	N	19	21.09	N	N	39	N	N	N	26	35.31	26	33.40
136	N	N	22	N	N	N	N	N	N	N	19	22.96	N	N	40	N	N	N	26	37.77	26	35.14
137	N	N	22	N	N	N	N	N	N	N	19	24.81	N	N	40	N	N	N	26	40.19	26	36.86
138	N	N	22	N	N	N	N	N	N	N	19	26.66	N	N	40	N	N	N	26	42.55	26	38.55
139	N	N	22	N	N	N	N	N	N	N	19	28.49	N	N	40	N	N	N	26	44.86	26	40.23
140	N	N	22	N	N	N	N	N	N	N	19	30.31	N	N	40	N	N	N	26	47.13	26	41.87
141	N	N	22	N	N	N	N	N	N	N	19	32.12	N	N	41	N	N	N	26	49.35	26	43.49
142	N	N	22	N	N	N	N	N	N	N	19	33.92	N	N	41	N	N	N	26	51.53	26	45.09
143	N	N	22	N	N	N	N	N	N	N	19	35.69	N	N	41	N	N	N	26	53.68	26	46.65
144	N	N	22	N	N	N	N	N	N	N	19	37.45	N	N	41	N	N	N	26	55.78	26	48.17
145	N	N	22	N	N	N	19	38.47	19	38.47	19	39.19	N	N	41	N	N	N	N	N	26	49.67
146	N	N	23	N	N	N	19	42.17	19	41.65	19	40.90	N	N	41	N	N	N	N	N	26	51.13
147	N	N	23	N	N	N	19	46.03	19	44.59	19	42.59	N	N	42	N	N	N	N	N	26	52.56
148	N	N	23	N	N	N	19	50.00	19	47.33	19	44.25	N	N	42	N	N	N	N	N	26	53.95
149	N	N	23	N	N	N	19	54.01	19	49.93	19	45.88	N	N	42	N	N	N	N	N	26	55.31
150	N	N	23	N	N	N	19	58.09	19	52.40	19	47.48	N	N	42	N	N	N	N	N	26	56.62
151	N	N	23	N	N	N	20	2.22	19	54.78	19	49.04	N	N	42	N	N	N	N	N	26	57.91
152	N	N	23	N	N	N	20	6.39	19	57.08	19	50.55	N	N	43	N	N	N	N	N	26	59.15
153	N	N	23	N	N	N	20	10.59	19	59.32	19	52.03	N	N	43	N	N	N	N	N	27	0.35
154	N	N	23	N	N	N	20	14.82	20	1.49	19	53.47	N	N	43	N	N	N	N	N	27	1.51
155	N	N	23	N	N	N	20	19.08	20	3.62	19	54.86	N	N	43	N	N	N	N	N	27	2.64
156	N	N	24	N	N	N	20	23.36	N	N	19	56.20	N	N	43	N	N	N	N	N	27	3.72
157	N	N	24	N	N	N	20	27.66	N	N	19	57.50	N	N	44	N	N	N	N	N	27	4.76
158	N	N	24	N	N	N	20	31.98	N	N	19	58.75	N	N	44	N	N	N	N	N	27	5.76
159	N	N	24	N	N	N	20	36.31	N	N	19	59.96	N	N	44	N	N	N	N	N	27	6.71
160	N	N	24	N	N	N	20	40.66	N	N	20	1.11	N	N	44	N	N	N	N	N	27	7.63
161	N	N	24	N	N	N	20	45.02	N	N	20	2.20	N	N	44	N	N	N	N	N	27	8.50
162	N	N	24	N	N	N	20	49.39	N	N	20	3.25	N	N	44	N	N	N	N	N	27	9.33
163	N	N	24	N	N	N	20	53.78	N	N	20	4.24	N	N	45	N	N	N	N	N	27	10.11
164	N	N	24	N	N	N	20	58.17	N	N	20	5.18	N	N	45	N	N	N	N	N	27	10.85
165	N	N	24	N	N	N	21	2.57	N	N	20	6.06	N	N	45	N	N	N	N	N	27	11.55
166	N	N	24	N	N	N	21	6.98	N	N	20	6.89	N	N	45	N	N	N	N	N	27	12.20
167	N	N	24	N	N	N	21	11.39	N	N	20	7.66	N	N	45	N	N	N	N	N	27	12.81
168	N	N	25	N	N	N	21	15.81	N	N	20	8.38	N	N	45	N	N	N	N	N	27	13.37
169	N	N	25	N	N	N	21	20.24	N	N	20	9.04	N	N	46	N	N	N	N	N	27	13.89
170	N	N	25	N	N	N	21	24.67	N	N	20	9.64	N	N	46	N	N	N	N	N	27	14.36
171	N	N	25	N	N	N	21	29.10	N	N	20	10.19	N	N	46	N	N	N	N	N	27	14.79
172	N	N	25	N	N	N	21	33.54	N	N	20	10.68	N	N	46	N	N	N	N	N	27	15.17
173	N	N	25	N	N	N	21	37.98	N	N	20	11.11	N	N	46	N	N	N	N	N	27	15.51
174	N	N	25	N	N	N	21	42.42	N	N	20	11.49	N	N	46	N	N	N	N	N	27	15.81
175	N	N	25	N	N	N	21	46.86	N	N	20	11.81	N	N	47	N	N	N	N	N	27	16.06
176	N	N	25	N	N	N	21	51.31	N	N	20	12.07	N	N	47	N	N	N	N	N	27	16.26
177	N	N	25	N	N	N	21	55.75	N	N	20	12.27	N	N	47	N	N	N	N	N	27	16.42
178	N	N	25	N	N	N	22	0.20	N	N	20	12.41	N	N	47	N	N	N	N	N	27	16.53
179	N	N	25	N	N	N	N	N	N	N	20	12.50	N	N	47	N	N	N	N	N	27	16.60
180	N	N	26	N	N	N	N	N	N	N	20	12.53	N	N	47	N	N	N	N	N	27	16.62
